base_hh_id,settlement,state_name,district_name,tehsil_name,village_name,children_home,children_school,relationship,rationcard_1,rationcard_2,rationcard_3,rationcard_4,rationcard_99,rationcard_66,mother_edu,mother_edu_os,father_edu,father_edu_os,guardian_edu,guardian_edu_os,have_electricity,electricity_hours,electricity_devices_1,electricity_devices_2,electricity_devices_3,electricity_devices_4,electricity_devices_5,electricity_devices_6,electricity_devices_7,electricity_devices_8,electricity_devices_9,electricity_devices_66,electricity_devices_88,electricity_devices_os,smartphonebrand_1,smartphonebrand_2,smartphonebrand_3,smartphonebrand_4,smartphonebrand_5,smartphonebrand_6,smartphonebrand_7,smartphonebrand_8,smartphonebrand_9,smartphonebrand_10,smartphonebrand_11,smartphonebrand_12,smartphonebrand_13,smartphonebrand_88,smartphonebrand_99,smartphonebrand_os,smartphduration_1,smartphduration_2,smartphduration_3,smartphduration_4,smartphduration_5,smartphduration_6,smartphduration_7,featurephduration_1,featurephduration_2,featurephduration_3,featurephduration_4,featurephduration_5,featurephduration_6,featurephduration_7,prevent_smartphone_1,prevent_smartphone_2,prevent_smartphone_3,prevent_smartphone_4,prevent_smartphone_5,prevent_smartphone_6,prevent_smartphone_7,prevent_smartphone_8,prevent_smartphone_9,prevent_smartphone_88,prevent_smartphone_os,knowedutech,buysmartphone,advocateonlinelearning,parent_abletouse_1,parent_abletouse_2,parent_abletouse_3,parent_abletouse_66,e1,e2,base_weight
Uttar Pradesh777,Rural,Uttar Pradesh,Farrukhabad,Kaimganj,Salempur Dundemai,6,5,Mother,Yes,No,No,No,No,No,1st to 5th grade,,9th to 12th grade,,,,Yes,12,No,No,Yes,Yes,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,,,,,,,,,,,,Yes,No,Yes,No,No,No,Yes,Yes,120000,1.1623579
Uttar Pradesh625,Rural,Uttar Pradesh,Farrukhabad,Kaimganj,Salempur Dundemai,3,3,Mother,Yes,No,No,No,No,No,Cannot read and write,,9th to 12th grade,,,,Yes,15,No,No,Yes,No,No,No,No,No,No,No,No,,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,72000,1.1623579
Uttar Pradesh844,Rural,Uttar Pradesh,Farrukhabad,Kaimganj,Salempur Dundemai,4,2,Father,No,No,Yes,No,No,No,1st to 5th grade,,1st to 5th grade,,,,Yes,12,No,No,No,Yes,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,Yes,No,Yes,Yes,Yes,Yes,No,No,110000,1.1623579
Uttar Pradesh428,Rural,Uttar Pradesh,Farrukhabad,Kaimganj,Vijauri,5,2,Father,No,No,Yes,No,No,No,Cannot read and write,,Cannot read and write,,,,Yes,14,No,No,No,Yes,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,No,No,"I haven't used, so can't comment on this",No,No,No,Yes,Yes,60000,.82288426
Uttar Pradesh963,Rural,Uttar Pradesh,Farrukhabad,Kaimganj,Vijauri,4,2,Mother,No,No,Yes,No,No,No,6th to 8th grade,,9th to 12th grade,,,,Yes,18,No,No,Yes,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,No,No,No,,108000,.82288426
Uttar Pradesh142,Rural,Uttar Pradesh,Farrukhabad,Kaimganj,Vijauri,6,4,Mother,No,No,Yes,No,No,No,9th to 12th grade,,9th to 12th grade,,,,Yes,14,No,No,No,Yes,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,132000,.82288426
Uttar Pradesh332,Rural,Uttar Pradesh,Farrukhabad,Kaimganj,Vijauri,3,2,Mother,No,No,No,No,No,Yes,6th to 8th grade,,9th to 12th grade,,,,Yes,15,Yes,No,Yes,Yes,No,No,No,No,No,No,No,,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No,,84000,.82288426
Uttar Pradesh854,Rural,Uttar Pradesh,Farrukhabad,Kaimganj,Vijauri,8,2,Father,Yes,No,No,No,No,No,Cannot read and write,,Cannot read and write,,,,Yes,17,No,No,Yes,Yes,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,,,,,Yes,No,Yes,Yes,No,No,No,,96000,.82288426
Uttar Pradesh830,Rural,Uttar Pradesh,Farrukhabad,Kaimganj,Vijauri,9,1,Father,No,No,Yes,No,No,No,Cannot read and write,,1st to 5th grade,,,,Yes,16,No,No,Yes,Yes,No,No,No,No,No,No,No,,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,,,,,,,,,,,,No,No,"I haven't used, so can't comment on this",No,No,No,Yes,,96000,.82288426
Uttar Pradesh78,Urban,Uttar Pradesh,Ghaziabad,Ghaziabad,Dasna,4,3,Mother,No,No,Yes,No,No,No,"Did not attend school, but can read and write",,6th to 8th grade,,,,Yes,23,Yes,No,Yes,Yes,No,No,No,No,No,No,No,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,,,,,,,,,,,,Yes,No,Yes,Yes,No,No,No,,130000,.61974174
Uttar Pradesh780,Urban,Uttar Pradesh,Ghaziabad,Ghaziabad,Dasna,3,1,Mother,No,No,Yes,No,No,No,1st to 5th grade,,Cannot read and write,,,,Yes,18,No,No,Yes,Yes,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,,,,,,,,,,,,Yes,Yes,Yes,No,No,No,Yes,,118000,.61974174
Uttar Pradesh547,Urban,Uttar Pradesh,Ghaziabad,Ghaziabad,Dasna,4,2,Mother,No,No,No,No,No,Yes,9th to 12th grade,,1st to 5th grade,,,,Yes,23,No,No,Yes,Yes,No,No,No,No,No,No,No,,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No,,120000,.61974174
Uttar Pradesh76,Urban,Uttar Pradesh,Ghaziabad,Ghaziabad,Dasna,6,1,Mother,No,No,Yes,No,No,No,Cannot read and write,,Cannot read and write,,,,Yes,22,No,No,Yes,Yes,No,No,No,No,No,No,No,,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,,,,,Yes,No,Yes,Yes,No,No,No,,350000,.61974174
Uttar Pradesh13,Urban,Uttar Pradesh,Ghaziabad,Ghaziabad,Dasna,4,2,Father,No,No,Yes,No,No,No,1st to 5th grade,,6th to 8th grade,,,,Yes,23,Yes,No,Yes,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,Yes,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,No,,250000,.61974174
Uttar Pradesh572,Urban,Uttar Pradesh,Ghaziabad,Ghaziabad,Dasna,6,4,Mother,No,No,Yes,No,No,No,Cannot read and write,,6th to 8th grade,,,,Yes,22,Yes,No,Yes,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,Yes,No,Yes,No,No,No,Yes,Yes,150000,.61974174
Uttar Pradesh977,Urban,Uttar Pradesh,Ghaziabad,Ghaziabad,Ghaziabad,1,1,Mother,No,No,Yes,No,No,No,"post-graduation (MA, M.Com, M.Sc. etc.)",,"post-graduation (MA, M.Com, M.Sc. etc.)",,,,Yes,22,No,No,Yes,No,No,No,No,No,No,No,No,,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,No,,144000,38.3283
Uttar Pradesh14,Urban,Uttar Pradesh,Ghaziabad,Ghaziabad,Ghaziabad,3,1,Mother,No,No,Yes,No,No,No,Cannot read and write,,Cannot read and write,,,,Yes,23,Yes,No,Yes,No,No,No,No,No,No,No,No,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,Yes,No,Yes,No,No,No,Yes,,144000,38.3283
Uttar Pradesh745,Urban,Uttar Pradesh,Ghaziabad,Ghaziabad,Ghaziabad,2,2,Father,No,No,Yes,No,No,No,9th to 12th grade,,Cannot read and write,,,,Yes,22,No,No,No,Yes,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,Yes,Yes,"I haven't used, so can't comment on this",No,No,No,Yes,,80000,38.3283
Uttar Pradesh387,Urban,Uttar Pradesh,Ghaziabad,Ghaziabad,Ghaziabad,2,2,Mother,No,No,No,No,No,Yes,6th to 8th grade,,9th to 12th grade,,,,Yes,23,Yes,No,Yes,No,No,No,No,No,No,No,No,,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,No,,180000,38.3283
Uttar Pradesh12,Urban,Uttar Pradesh,Ghaziabad,Ghaziabad,Ghaziabad,2,2,Mother,No,No,Yes,No,No,No,9th to 12th grade,,9th to 12th grade,,,,Yes,23,Yes,No,Yes,No,No,No,No,No,No,No,No,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,No,,120000,38.3283
Uttar Pradesh104,Urban,Uttar Pradesh,Ghaziabad,Ghaziabad,Ghaziabad,2,1,Mother,No,No,Yes,No,No,No,9th to 12th grade,,9th to 12th grade,,,,Yes,23,Yes,No,No,Yes,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,Yes,No,Yes,Yes,Yes,Yes,No,,180000,38.3283
Uttar Pradesh640,Rural,Uttar Pradesh,Ghaziabad,Loni,Fatiyabad Nithora,3,2,Mother,No,No,Yes,No,No,No,Cannot read and write,,"Did not attend school, but can read and write",,,,Yes,18,No,No,No,No,No,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,No,No,No,No,No,No,,Yes,No,"I haven't used, so can't comment on this",No,No,No,Yes,Yes,72000,.52764726
